,PTRATIO,AGE,LSTAT,NOX,RAD,ZN,RM,TAX,INDUS,CHAS,CRIM,DIS,MEDV
0,17.819236533763675,60.46275299998643,5.697665181991216,0.4310106860067722,5.0,18.0,7.3226840065848915,280.0,2.423363805772499,0.0,0.0058578187780826,4.775247208239947,46.48607794509213
1,23.526050848498443,88.46850669016419,20.754145863719007,0.4678629007954553,28.0,0.0,6.044137810454176,650.0,18.988261854754214,0.0,7.466670559223224,2.8368938060101283,26.729494818427977
2,23.526050848498443,88.37577240642187,17.962518746438167,0.5752150047450975,28.0,0.0,6.688979489513135,650.0,18.988261854754214,0.0,6.5090284134138825,2.188674429478388,27.504262784179517
3,22.36139486589951,56.93885021777862,13.054289101710795,0.3997664169468017,9.0,0.0,6.505216316724312,263.0,6.252488433941166,0.0,0.0903142186291736,3.943840475480127,38.73839828757678
4,14.674665380746552,33.94074784968563,9.850782573683606,0.3236585820571301,6.0,80.0,7.915181024304004,313.0,1.5945943657031163,0.0,0.043247756991351,8.533565243282586,58.68867340567882
5,20.847342088520897,31.34418790490093,11.681357732556288,0.3589085266376096,7.0,0.0,6.328135441127811,217.0,7.249109912505614,0.0,0.1588840656548948,5.954931750833014,37.3825543475116
6,21.42967007982036,80.95702970703704,10.61733592146154,0.4358174966313831,8.0,0.0,7.31377427699513,288.0,10.38584488188214,0.0,0.3422004260867294,4.2058369237757365,46.098693962216366
7,19.682686105921963,26.33653658281617,14.22128076549213,0.3508170620861813,5.0,35.0,6.354864629897095,288.0,6.357395958000581,0.0,0.0465566831049198,7.753296854708807,33.12133053587815
8,17.120442944204314,91.3432694861758,18.065488599124755,0.697788675672674,9.0,0.0,6.358205778493254,387.0,20.540893210833563,0.0,1.992010595170848,1.895154344355766,37.576246338949474
9,22.24492926763962,86.15014959660643,20.51388287411697,0.4654594954831499,6.0,0.0,6.638862260570729,172.0,26.90877992124009,0.0,0.0861896468629603,2.436543618307077,39.7068582447662
10,17.120442944204314,88.74670954139111,33.78555277594389,0.697788675672674,9.0,0.0,5.486165994895388,387.0,20.540893210833563,0.0,2.195402961098454,1.7055455065518133,28.27903074993105
11,21.546135678080255,52.02393317943617,7.471034867149124,0.3597096617417114,7.0,0.0,7.383938397514499,231.0,4.710347830267758,0.0,0.0531559979308611,5.181201598045579,51.52206972247712
12,23.526050848498443,92.73428374231048,28.099328688695632,0.5607945728712649,28.0,0.0,6.147713416935148,650.0,18.988261854754214,0.0,7.407990415735816,1.7899588007219225,23.82411494685972
13,21.662601276340155,57.03158450152093,15.617094324132548,0.3717266883032385,7.0,20.0,6.593199896423203,207.0,7.301563674535322,1.0,0.084020770922974,4.573846195178483,40.09424222764196
14,18.518030123323037,31.71512503987018,3.5581804650587707,0.315647231016112,7.0,90.0,8.301640545259891,228.0,3.934032152228083,0.0,0.0142552615200809,7.397663529615925,85.2244762326689
15,21.662601276340155,92.73428374231048,26.41748776148136,0.3917550659057837,8.0,0.0,5.951699365960405,261.0,11.109706797892107,1.0,0.4038465537655712,4.524225655728556,38.73839828757678
16,20.730876490261007,80.02968686961393,6.292602108624836,0.3917550659057837,6.0,0.0,7.803809404431989,254.0,3.5773465704260703,0.0,0.0524608453859937,3.994978819666168,45.7113099793406
17,19.333289311142288,30.695047918704766,6.098103497994614,0.4085789030919216,9.0,0.0,7.290386236822008,280.0,4.2487547244063295,0.0,0.0617666207866187,3.657092134564789,56.94544548273786
18,23.526050848498443,86.52108673157566,26.589104182625668,0.5375616548523126,28.0,0.0,7.405099005290181,650.0,18.988261854754214,0.0,14.169989474577248,1.5702273766166028,26.92318680986586
19,19.333289311142288,7.233274131900216,5.937928171593255,0.3428858245555734,10.0,30.0,7.119987658417827,284.0,5.171940936129186,0.0,0.118240813531647,8.214242477646003,45.90500197077848
20,20.49794529374122,52.3021360306631,8.21470602544115,0.3877493903852746,9.0,55.0,7.457443666630028,354.0,3.965504409445908,0.0,0.0235703056213042,6.692468098374622,46.29238595365425
21,17.120442944204314,92.73428374231048,30.227372310885123,0.697788675672674,9.0,0.0,6.089800174601701,387.0,20.540893210833563,0.0,3.7977573831196247,1.6483359434213098,30.215950664309887
22,23.526050848498443,34.589887835881804,9.736371626254064,0.4125845786124307,9.0,0.0,6.7480064480453015,208.0,5.444700498683667,0.0,0.0306423241777553,5.61844611625728,39.90055023620408
23,24.690706831097376,90.78686378372196,21.12026089549354,0.4999083049595276,8.0,0.0,6.850468338327554,421.0,22.964257016606066,0.0,0.5046992849749348,1.9482775101198049,34.477174475943336
24,24.45777563457759,90.97233235120656,24.04918114968983,0.4310106860067722,8.0,0.0,6.203399226871156,291.0,8.539472458436427,0.0,1.1602466721860971,4.434208159455867,26.34211083555221
25,18.63449572158293,47.29448470857834,8.454969015043188,0.3500960404924897,8.0,0.0,7.293727385418168,273.0,14.603127349070643,0.0,0.0497914596137028,6.959017960878578,52.49052967966654
26,23.526050848498443,85.87194674537949,19.95326923171221,0.5712093292245884,28.0,0.0,7.516470625162195,650.0,18.988261854754214,0.0,6.22645353827558,2.712900834490548,25.95472685267644
27,20.730876490261007,77.24765835734462,8.649467625673411,0.3909539308016818,7.0,0.0,8.648006283061852,177.0,2.5807250918616225,0.0,0.0610621995411531,3.200232908994058,77.08941259227778
29,21.42967007982036,38.1137906180896,7.928678656867294,0.3781357691360529,11.0,33.0,8.0588504139389,206.0,2.286984024495259,0.0,0.05111688379925,4.6958543451200665,69.92280890907608
30,21.662601276340155,85.40827532666793,19.758770621081982,0.3917550659057837,8.0,0.0,6.637748544372008,261.0,11.109706797892107,1.0,0.1617017506367573,4.526677494148435,42.0311621420208
31,24.341310036317697,90.04498951378345,14.038223249604862,0.4165902541329397,9.0,0.0,7.210198670514158,368.0,8.980084059485971,0.0,0.1186579050585674,2.8405131865347117,38.35101430470101
32,23.526050848498443,92.73428374231048,15.250979292358013,0.5055162506882402,28.0,0.0,4.302285675655884,650.0,18.988261854754214,0.0,12.533322322941425,1.763689103366079,44.74285002215118
33,19.100358114622495,29.67497079753935,7.516799246120941,0.3140449608079084,5.0,80.0,6.802578541782588,299.0,3.818633875762726,0.0,0.0446658681828805,10.765088468003617,42.41854612489657
