,RAD,B,PTRATIO,DIS,CHAS,INDUS,AGE,ZN,NOX,LSTAT,RM,TAX,MEDV
0,2.0,577.2564334105872,15.456767573445774,4.054793311726227,0.0,1.9296353259312653,52.485310059759165,18.0,0.5728106810612406,6.227472877855116,5.939443161894046,281.0,16.44842674100117
1,25.0,577.2564334105872,20.40697418193494,1.4767775347548626,0.0,15.119653419634592,80.49894180944656,0.0,0.7378397806234938,38.25268982602169,4.9258986405792,651.0,3.42675557104191
2,6.0,566.7992055037539,15.355742948782728,6.424021931863963,0.0,2.873569489698508,24.793674077309543,45.0,0.4652755903787399,5.86482887492781,6.087590489430262,383.0,20.90320898335565
3,5.0,577.2564334105872,21.2151711792393,3.942666875648908,0.0,6.799667338995888,73.8175296392625,0.0,0.5728106810612406,23.409295637238507,5.548298083703914,292.0,10.417336935967407
4,5.0,536.0529192797685,17.07316156805448,5.823040096761655,0.0,2.7065014961113856,25.920659262641795,0.0,0.489763779346042,11.367013746928317,5.550104758429965,415.0,13.569952061325967
5,6.0,566.784661375928,13.133201206195755,1.7854970059703996,0.0,3.3162996727043828,69.95358043240907,20.0,0.6888634026888896,6.402542396509678,7.862648407775784,249.0,34.2675557104191
6,7.0,569.4026043845928,17.98238319002188,2.73544882780318,0.0,8.361753079035482,52.485310059759165,0.0,0.5823930158745326,17.019258206347015,5.177026427500347,417.0,13.227276504221775
7,6.0,577.2564334105872,14.850619825467508,1.3343145032401784,0.0,16.355956572179295,78.72796508963874,0.0,0.9273570691530492,36.6270442956579,4.429063090915058,388.0,8.08714314765891
8,3.0,549.8989289700401,19.295703310641457,2.0689359809881327,0.0,21.426470177548467,74.78351694097587,0.0,0.6185929473914139,22.42140335340205,5.38479402099626,173.0,14.049697841271833
9,6.0,559.1635383951483,17.174186192717528,12.022115182065548,0.0,1.6873867352299377,29.060117993210213,90.0,0.4365285859388635,5.627234528182334,6.07765377843698,172.0,20.629068537672303
10,7.0,501.6415128436524,17.98238319002188,2.441897654306325,0.0,8.361753079035482,71.00006667593188,0.0,0.5823930158745326,19.70782581425635,5.354983888016411,417.0,12.541925390013391
11,5.0,548.5608692100559,19.3967279353045,5.241786962613712,0.0,9.030025053383971,4.990934392185688,0.0,0.4397226975432942,9.428744076109954,5.641341832095562,290.0,16.03721607247614
12,5.0,577.2564334105872,21.417220428565383,1.42700965596546,0.0,18.285591898110564,80.49894180944656,0.0,0.6643752137215875,43.02958669216758,4.533850225026041,422.0,9.869056044600702
13,7.0,572.0060032654317,19.3967279353045,2.7745096729088066,0.0,8.094444289296087,23.183695241120613,0.0,0.6228517628639882,22.008739488002018,5.121922848355778,376.0,15.831610738213628
14,5.0,568.5881332263415,18.790580187326235,3.621158447533305,1.0,8.846250260438138,43.30843069348225,0.0,0.5206401915222055,20.04545988594729,5.2456800670903005,262.0,15.35186495826776
15,6.0,549.3026197291775,15.355742948782728,6.424021931863963,0.0,2.873569489698508,17.30727248903101,45.0,0.4652755903787399,6.377532465273311,6.279098010391713,383.0,25.357991225710137
16,4.0,574.7112110410519,18.68955556266319,3.715340688270222,0.0,3.750676456030901,45.723398947765645,0.0,0.4780520367964628,10.55419098174642,5.529327999080374,232.0,15.214794735426082
17,25.0,462.5178089919396,20.40697418193494,2.054164240072553,0.0,15.119653419634592,77.6009799043065,0.0,0.7878808624262416,22.24633383474749,5.72806221894603,651.0,10.211731601704894
18,25.0,577.2564334105872,20.40697418193494,1.4043067789878243,0.0,15.119653419634592,73.9785275228814,0.0,0.7144162955243353,21.52104582889288,6.29445474556315,651.0,7.127651587767175
19,25.0,561.3451575690356,20.40697418193494,2.04732363521903,0.0,15.119653419634592,78.24497143878206,0.0,0.7878808624262416,24.409692886693144,5.786779147542701,651.0,11.719504052963336
20,5.0,556.7492131760463,22.22541742586974,10.494578376513523,0.0,1.5954993387570202,17.629268256268798,80.0,0.4397226975432942,10.066497322637288,5.115599486814599,319.0,12.473390278592554
21,7.0,577.2564334105872,19.3967279353045,2.8677996608387426,0.0,8.094444289296087,56.83225291746927,0.0,0.6228517628639882,17.632001521637978,5.233936681370966,376.0,12.541925390013391
